ID;TITLE;YEAR;KEY;PUBLISHED INTO;PUBLICATION TYPE;BIBTEX;TYPE OF WORK;ABSTRACT;CATEGORY;LLM APPROACH TYPE;BENCHMARK;LLMs USED;EVALUATION METRIC;TOOL
P111;Getting pwn’d by AI: Penetration Testing with Large Language Models;2023;Happe2023;C: FSE;Conference;"@Inproceedings{Happe2023 ,
  author =       ""Happe, Andreas and Cito, Jurgen"",
  title =        ""Getting pwn’d by AI: Penetration Testing with Large Language Models"",
  booktitle =    ""Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering"",
  series =       ""ESEC/FSE 2023"",
  editor =       """",
  volume =       """",
  year =         ""2023"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""San Francisco, CA, USA"",
  pages =        ""2082-–2086"",
  doi =          ""10.1145/3611643.3613083"",
  url =          ""https://doi.org/10.1145/3611643.3613083""
}
";Research Contribution;"The feld of software security testing, more specifically penetration
testing, requires high levels of expertise and involves many manual
testing and analysis steps. This paper explores the potential use of
large-language models, such as GPT3.5, to augment penetration
testers with AI sparring partners.We explore two distinct use cases:
high-level task planning for security testing assignments and lowlevel
vulnerability hunting within a vulnerable virtual machine.
For the latter, we implemented a closed-feedback loop between
LLM-generated low-level actions with a vulnerable virtual machine
(connected through SSH) and allowed the LLM to analyze the machine
state for vulnerabilities and suggest concrete attack vectors
which were automatically executed within the virtual machine. We
discuss promising initial results, detail avenues for improvement,
and close deliberating on the ethics of AI sparring partners.";Non Functional Testing;LLM-Pure-Prompting;No Bmk-Ds;GPT-Family;No Eval.;
P112;HITS: High-coverage LLM-based Unit Test Generation via Method Slicing;2024;Wang2024;C: ASE;Conference;"@Inproceedings{Wang2024 ,
  author =       ""Wang, Zejun and Liu, Kaibo and Li, Ge and Jin, Zhi"",
  title =        ""HITS: High-coverage LLM-based Unit Test Generation via Method Slicing"",
  booktitle =    ""Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering"",
  series =       ""ASE '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Sacramento, CA, USA"",
  pages =        ""1258–-1268"",
  doi =          ""10.1145/3691620.3695501"",
  url =          ""https://doi.org/10.1145/3691620.3695501""
}";Research Contribution;"Large language models (LLMs) have behaved well in generating
unit tests for Java projects. However, the performance for covering
the complex focal methods within the projects is poor. Complex
methods comprise many conditions and loops, requiring the test
cases to be various enough to cover all lines and branches. However,
existing test generation methods with LLMs provide the whole
method-to-test to the LLM without assistance on input analysis. The
LLM has difficulty inferring the test inputs to cover all conditions,
resulting in missing lines and branches. To tackle the problem, we
propose decomposing the focal methods into slices and asking the
LLM to generate test cases slice by slice. Our method simplifies the
analysis scope, making it easier for the LLM to cover more lines
and branches in each slice. We build a dataset comprising complex
focal methods collected from the projects used by existing state-ofthe-
art approaches. Our experiment results show that our method
significantly outperforms current test case generation methods
with LLMs and the typical SBST method Evosuite regarding both
line and branch coverage scores.";Unit Test Generation;LLM-Pure-Prompting;ChatUniTest, EvoSuite;GPT-Family;Test Coverage;
P113;Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM;2024;SantosSBQS2024;C: Other;Conference;"@Inproceedings{SantosSBQS2024 ,
  author =       ""Santos, Shexmo Richarlison Ribeiro dos and Fernandes, Raiane Eunice S. and Santos, Marcos Cesar Barbosa dos and Soares, Michel S. and Rocha, Fabio Gomes and Marczak, Sabrina"",
  title =        ""Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM"",
  booktitle =    ""Proceedings of the XXIII Brazilian Symposium on Software Quality"",
  series =       ""SBQS '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Salvador Bahia,Brazil "",
  pages =        ""519-–525"",
  doi =          ""10.1145/3701625.3701637"",
  url =          ""https://doi.org/10.1145/3701625.3701637""
}";Research Contribution;"In today’s landscape, software manufacturers must deliver quickly
and with high quality to remain competitive, especially in the cybersecurity
sector. Recognizing this need, we have recently implemented
several strategies to accelerate our time to market without
compromising quality. We introduced the Proof of Concept (POC)
and Proof of Value (POV) stages in the Enterprise Architecture team
before initiating inception processes for Minimum Viable Products
(MVP) and new features. Initially, these proofs focused only on
concept validation. However, since 2023, due to the growing need
for rapid and high-quality innovation, POCs/POVs have begun to
include robust implementations. We adopted the Behaviour-Driven
Development (BDD) approach to define user stories and acceptance
criteria, which provided a solid evaluation of POC/POV quality
and involved the implementation team from the outset. To prevent
products from incurring technical debt, we implemented AutoDevSuite,
which uses LLM to generate tests based on user stories
and acceptance criteria automatically. We used AutoDevSuite in
a POC/POV of a cybersecurity product, and the results showed a
significant expansion in test coverage, aligned with the acceptance
criteria, demonstrating the tool’s effectiveness in automating and
improving test quality.";High-Level Test Gen;Hybrid-Prompting;Custom;Gemini;Test Coverage;AutoDevSuite
P114;Intent-Driven Mobile GUI Testing with Autonomous Large Language Model Agents;2024;Yoon2024;C: ICST;Conference;"@Inproceedings{Yoon2024 ,
  author =       ""Yoon, Juyeon and Feldt, Robert and Yoo, Shin"",
  title =        ""Intent-Driven Mobile GUI Testing with Autonomous Large Language Model Agents"",
  booktitle =    ""2024 IEEE Conference on Software Testing, Verification and Validation (ICST)"",
  series =       ""ICTSS '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Toronto, ON, Canada"",
  pages =        ""129--139"",
  doi =          ""10.1109/ICST60714.2024.00020"",
  url =          ""https://doi.org/10.1109/ICST60714.2024.00020""
}";Research Contribution;"GUI testing checks if a software system behaves
as expected when users interact with its graphical interface,
e.g., testing specific functionality or validating relevant use case
scenarios. Currently, deciding what to test at this high level is a
manual task since automated GUI testing tools target lower level
adequacy metrics such as structural code coverage or activity
coverage. We propose DROIDAGENT, an autonomous GUI testing
agent for Android, for semantic, intent-driven automation of
GUI testing. It is based on Large Language Models and support
mechanisms such as long- and short-term memory. Given an
Android app, DROIDAGENT sets relevant task goals and subsequently
tries to achieve them by interacting with the app. Our
empirical evaluation of DROIDAGENT using 15 apps from the
Themis benchmark shows that it can set up and perform realistic
tasks, with a higher level of autonomy. For example, when testing
a messaging app, DROIDAGENT created a second account and
added a first account as a friend, testing a realistic use case,
without human intervention. On average, DROIDAGENT achieved
61% activity coverage, compared to 51% for current state-ofthe-
art GUI testing techniques. Further, manual analysis shows
that 317 out of the 547 autonomously created tasks are realistic
and relevant to app functionalities, and also that DROIDAGENT
interacts deeply with the apps and covers more features.";High-Level Test Gen, Test Agents;LLM-Pure-Prompting;Themis, Other;GPT-Family;Activity Coverage, BS Coverage;DroidAgent
P115;KAT: Dependency-Aware Automated API Testing with Large Language Models;2024;Le2024;C: ICST;Conference;"@Inproceedings{Le2024 ,
  author =       ""Le, Tri and Tran, Thien and Cao, Duy and Le, Vy and Nguyen, Tien N. and Nguyen, Vu"",
  title =        ""KAT: Dependency-Aware Automated API Testing with Large Language Models"",
  booktitle =    ""2024 IEEE Conference on Software Testing, Verification and Validation (ICST)"",
  series =       ""ICTSS '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Toronto, ON, Canada"",
  pages =        ""82--92"",
  doi =          ""10.1109/ICST60714.2024.00017"",
  url =          ""https://doi.org/10.1109/ICST60714.2024.00017""
}";Research Contribution;"API testing has increasing demands for software
companies. Prior API testing tools were aware of certain types of
dependencies that needed to be concise between operations and
parameters. However, their approaches, which are mostly done
manually or using heuristic-based algorithms, have limitations
due to the complexity of these dependencies. In this paper, we
present KAT (Katalon API Testing), a novel AI-driven approach
that leverages the large language model GPT in conjunction
with advanced prompting techniques to autonomously generate
test cases to validate RESTful APIs. Our comprehensive strategy
encompasses various processes to construct an operation dependency
graph from an OpenAPI specification and to generate test
scripts, constraint validation scripts, test cases, and test data. Our
evaluation of KAT using 12 real-world RESTful services shows
that it can improve test coverage, detect more undocumented
status codes, and reduce false positives in these services in
comparison with a state-of-the-art automated test generation tool.
These results indicate the effectiveness of using the large language
model for generating test scripts and data for API testing.";High-Level Test Gen;LLM-Pure-Prompting;REST services;GPT-Family;Test Coverage, failure detection, Bugs Rate;
P116;Large Language Model-based Test Case Generation for GP Agents;2024;Jorgensen2024;C: Other;Conference;"@Inproceedings{Jorgensen2024 ,
  author =       ""Jorgensen, Steven and Nadizar, Giorgia and Pietropolli, Gloria and Manzoni, Luca and Medvet, Eric and O'Reilly, Una-May and Hemberg, Erik"",
  title =        ""Large Language Model-based Test Case Generation for GP Agents"",
  booktitle =    ""Proceedings of the Genetic and Evolutionary Computation Conference"",
  series =       ""GECCO '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Melbourne, VIC, Australia"",
  pages =        ""914–-923"",
  doi =          ""10.1145/3638529.3654056"",
  url =          ""https://doi.org/10.1145/3638529.3654056""
}

";Research Contribution;"Genetic programming (GP) is a popular problem-solving and optimization
technique. However, generating effective test cases for
training and evaluating GP programs requires strong domain knowledge.
Furthermore, GP programs often prematurely converge on
local optima when given excessively difficult problems early in
their training. Curriculum learning (CL) has been effective in addressing
similar issues across different reinforcement learning (RL)
domains, but it requires the manual generation of progressively difficult
test cases as well as their careful scheduling. In this work, we
leverage the domain knowledge and the strong generative abilities
of large language models (LLMs) to generate effective test cases
of increasing difficulties and schedule them according to various
curricula.We show that by integrating a curriculum scheduler with
LLM-generated test cases we can effectively train a GP agent player
with environments-based curricula for a single-player game and
opponent-based curricula for a multi-player game. Finally, we discuss
the benefits and challenges of implementing this method for
other problem domains.";Test Agents;Hybrid-Prompting;;GPT-Family;fitness function;
P117;Large Language Models are Few-Shot Testers: Exploring LLM-Based General Bug Reproduction;2023;Kang2023;C: ICSE;Conference;"@Inproceedings{Kang2023 ,
  author =       ""Kang, Sungmin and Yoon, Juyeon and Yoo, Shin"",
  title =        ""Large Language Models are Few-Shot Testers: Exploring LLM-Based General Bug Reproduction"",
  booktitle =    ""Proceedings of the 45th International Conference on Software Engineering"",
  series =       ""ICSE '23"",
  editor =       """",
  volume =       """",
  year =         ""2023"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Melbourne, VIC, Australia"",
  pages =        ""2312-–2323"",
  doi =          ""10.1109/ICSE48619.2023.00194"",
  url =          ""https://doi.org/10.1109/ICSE48619.2023.00194""
}";Research Contribution;"Many automated test generation techniques have
been developed to aid developers with writing tests. To facilitate full automation, most existing techniques aim to either increase coverage, or generate exploratory inputs. However, existing test generation techniques largely fall short of achieving more semantic objectives, such as generating tests to reproduce a given bug report. Reproducing bugs is nonetheless important, as our empirical study shows that the number of tests added in open source repositories due to issues was about 28% of the corresponding project test suite size. Meanwhile, due to the difficulties of transforming the expected program semantics in bug reports into test oracles, existing failure reproduction techniques tend to deal exclusively with program crashes, a small subset of all bug reports. To automate test generation from general bug reports, we propose LIBRO, a framework that uses Large Language Models (LLMs), which have been shown to be capable of performing code-related tasks. Since LLMs themselves cannot execute the target buggy code, we focus on post-processing steps that help us discern when LLMs are effective, and rank the produced tests according to their validity. Our evaluation of LIBRO shows that, on the widely studied Defects4J benchmark, LIBRO can generate failure reproducing test cases for 33% of all studied cases (251 out of 750), while suggesting a bug reproducing test in first place for 149 bugs. To mitigate data contamination (i.e., the possibility of the LLM simply remembering the test code either partially or in whole), we also evaluate LIBRO against 31 bug reports submitted after the collection of the LLM training data terminated: LIBRO produces bug reproducing tests for 32% of the studied bug reports. Overall, our results show LIBRO has the potential to significantly enhance developer efficiency by automatically generating tests from bug reports";Unit Test Generation;LLM-Pure-Prompting;Defects4J, Custom;OpenAI Codex;Acc@x, wef;-
P119;Leveraging Large Language Models for Python Unit Test;2024;Jiri2024;C: AITEST;Conference;"@Inproceedings{Jiri2024 ,
  author =       ""Jiri, Medlen and Emese, Bari and Medlen, Patrick"",
  title =        ""Leveraging Large Language Models for Python Unit Test"",
  booktitle =    ""2024 IEEE International Conference on Artificial Intelligence Testing (AITest)"",
  series =       ""AITEST '24"",
  editor =       """",
  volume =       """",
  year =         ""2023"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Shanghai, China"",
  pages =        ""95--100"",
  doi =          ""10.1109/AITest62860.2024.00020"",
  url =          ""https://doi.org/10.1109/AITest62860.2024.00020""
}";Evaluation;"Generative Artificial Intelligence is becoming an
integral and enduring part of our lives, growing more powerful with each passing day. This paper explores Large Language Models and their application in text generation, specifically examining their potential to assist software quality assurance engineers in their daily tasks. Our focus is on the generation of unit tests as a critical component of software development. The research question is simple: Can Generative AI generate comprehensive unit tests? We started with Python and a very simple use case, and if Gen AI is successful, we will continue with complex tasks. Current literature focuses on success, but we are interested in failures as well. How many test cases are missing?";Unit Test Generation;LLM-Pure-Prompting;No Bmk-Ds;Claude 3, Gemini, GPT-Family;ML-metrics;-
P120;Leveraging Large Language Models for Usability Testing: a Preliminary Study;2025;Calvano2025;C: Other;Conference;"@Inproceedings{Calvano2025 ,
  author =       ""Calvano, Miriana and Curci, Antonio and Lanzilotti, Rosa and Piccinno, Antonio and Ragone, Azzurra"",
  title =        ""Leveraging Large Language Models for Usability Testing: a Preliminary Study"",
  booktitle =    ""Companion Proceedings of the 30th International Conference on Intelligent User Interfaces"",
  series =       ""IUI '25 Companion"",
  editor =       """",
  volume =       """",
  year =         ""2025"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Cagliari Italy"",
  pages =        ""78–-81"",
  doi =          ""10.1145/3708557.3716341"",
  url =          ""https://doi.org/10.1145/3708557.3716341""
}";Evaluation;"Despite growing efforts to prioritize user experience in product development, software organizations often perform little or no us- ability engineering activities. Therefore, it is crucial to develop strategies to integrate them effectively into software development processes. The rapid advances in Artificial Intelligence have signif- icantly influenced various aspects of daily life, particularly with the emergence of Large Language Models (LLMs), which can serve as promising tools to support activities to enhance the usability of software products. This paper presents a study investigating the potential of LLMs to assist practitioners in conducting usabil- ity tests. Specifically, we conducted an experiment where LLMs generate usability test tasks. Our goal is to assess whether AI can effectively support evaluators by comparing tasks generated by LLMs to those defined by usability experts. The findings indicate that while LLMs can provide valuable support, effective usability testing still requires human oversight and expert intervention.
CCS";Non Functional Testing;LLM-Pure-Prompting;Custom;Mistral, Gemini, GPT-Family;;-
P121;Leveraging Large Vision-Language Model for Better Automatic Web GUI Testing;2024;WangICSME2024;C: Other;Conference;"@Inproceedings{WangICSME2024 ,
  author =       ""Wang, Siyi and Wang, Sinan and Fan, Yujia and Li, Xiaolei and Liu, Yepang"",
  title =        ""Leveraging Large Vision-Language Model for Better Automatic Web GUI Testing"",
  booktitle =    ""2024 IEEE International Conference on Software Maintenance and Evolution (ICSME)"",
  series =       ""ICSME '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Flagstaff, AZ, USA"",
  pages =        ""125--137"",
  doi =          ""10.1109/ICSME58944.2024.00022"",
  url =          ""https://doi.org/10.1109/ICSME58944.2024.00022""
}";Research Contribution;"With the rapid development of web technology, more
and more software applications have become web-based in the past decades. To ensure software quality and user experience, various techniques have been proposed to automatically test web applications by interacting with their GUIs. To achieve high functional coverage, web GUI testing tools often need to generate high-quality text inputs and interact with the associated GUI elements (e.g., click submit buttons). However, developing a holistic approach that solves both subtasks is challenging because the web GUI context can be complicated and highly dynamic, which is hard to process programmatically. The recent development of large vision-language models (LVLM) provides new opportunities to handle these longstanding problems. We in this paper propose VETL, the first LVLM-driven end-to-end web testing technique. With LVLM’s scene understanding capabilities, VETL can generate valid and meaningful text inputs focusing on the local context, while avoiding the need to extract precise textual attributes. The selection of associated GUI elements is formulated as a visual question answering problem, allowing LVLM to capture the logical connection between the input box and the relevant element based on visual instructions. Further, the GUI exploration is guided by a multi-armed bandit module employing a curiosity-oriented strategy. Experiments show that VETL is effective in exploring web state/action spaces and detecting bugs. Compared with WebExplor, the state-of-the-art web testing technique, VETL can discover 25% more unique web actions on benchmark websites. Moreover, it can expose functional bugs in top-ranking commercial websites, which have been confirmed by the website maintainers. Our work makes the first attempt of leveraging LVLM in end-to-end GUI testing, demonstrating promising results of this research direction.";High-Level Test Gen;LLM-Pure-Prompting;Custom;LLaVA-1.5;NºWebStates/Actions;-
P122;Leveraging Pre-Trained Large Language Models (LLMs) for On-Premises Comprehensive Automated Test Case Generation: An Empirical Study;2024;Yin2024;C: Other;Conference;"@Inproceedings{Yin2024 ,
  author =       ""Yin, Hang and Mohammed, Hamza and Boyapati, Sai"",
  title =        ""Leveraging Pre-Trained Large Language Models (LLMs) for On-Premises Comprehensive Automated Test Case Generation: An Empirical Study"",
  booktitle =    ""2024 9th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)"",
  series =       ""ICIIBMS '24"",
  editor =       """",
  volume =       ""9"",
  year =         ""2024"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Okinawa, Japan"",
  pages =        ""597--607"",
  doi =          ""10.1109/ICIIBMS62405.2024.10792720"",
  url =          ""https://doi.org/10.1109/ICIIBMS62405.2024.10792720""
}";Evaluation;"The rapidly evolving field of Artificial Intelligence
(AI)-assisted software testing has predominantly focused on automated test code generation, with limited research exploring the realm of automated test case generation from user stories requirements. This paper presents a comprehensive empirical study on harnessing pre-trained Large Language Models (LLMs) for generating concrete test cases from natural language requirements given in user stories. We investigate the efficacy of various prompting and alignment techniques, including prompt chaining, few-shot instructions, and agency-based approaches, to facilitate secure on-premises deployment. By integrating our learnings with an on-premises model setup, wherein we deploy a RoPE scaled 4-bit quantized LLaMA 3 70B Instruct model, optionally augmented with LoRA adapters trained on QA datasets, we demonstrate that this approach yields more accurate and consistent test cases despite video random-access memory (VRAM) constraints, thereby maintaining the security benefits of an on-premises deployme";High-Level Test Gen;LLM-Pure-FineTune;Custom;Llama-Family;Test Coverage;
P124;LLM-based methods for the creation of unit tests in game development;2024;PaduraruJournal2024;J: Other;Journal;"@article{PaduraruJournal2024,
  title = ""LLM-based methods for the creation of unit tests in game development"",
  author = ""Ciprian Paduraru and Adelina Staicu and Alin Stefanescu"",
  journal = ""Procedia Computer Science"",
  volume = ""246"",
  number = """",
  pages = ""2459--2468"",
  year = ""2024"",
  publisher = ""Association for Computing Machinery"",
  doi = ""10.1016/j.procs.2024.09.473"",
  url = ""https://doi.org/10.1016/j.procs.2024.09.473""
}
";Research Contribution;Problems related to the quality of games, whether on the initial release or after updates, can lead to player dissatisfaction, media attention, and potential financial setbacks. These issues can stem from software bugs, performance bottlenecks, or security vulnerabilities. Despite these challenges, game developers often rely on manual playtesting, highlighting the need for more robust and automated processes in game development. This research explores the application of Large Language Models (LLMs) to automate the creation of unit tests in game development, focusing on strongly typed programming languages such as C++ and C#, which are widely used in the industry. The study focuses on fine-tuning Code Llama, an advanced code generation model, to address common scenarios in game development, including game engines and specific APIs or backends. Although the prototyping and evaluations primarily took place within the Unity game engine, the proposed methods can be adapted to other internal or publicly available solutions. The evaluation results demonstrate these methods’ effectiveness in improving existing unit test suites or automatically generating new tests based on natural language descriptions of class contexts and targeted methods.;Unit Test Generation;LLM-Pure-FineTune;No Bmk-Ds;CodeLlama, GPT-Family;% Build, % Pass, Test Coverage;GameUnitGen
P125;LLM-Driven Testing for Autonomous Driving Scenarios;2024;Petrovic2024;C: Other;Conference;"@Inproceedings{Petrovic2024 ,
  author =       ""Petrovic, Nenad and Lebioda, Krzysztof and Zolfaghari, Vahid and Schamschurko, André and Kirchner, Sven and Purschke, Nils and Pan, Fengjunjie and Knoll, Alois"",
  title =        ""LLM-Driven Testing for Autonomous Driving Scenarios"",
  booktitle =    ""2024 2nd International Conference on Foundation and Large Language Models (FLLM)"",
  series =       ""FLLM '23"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Dubai, United Arab Emirates"",
  pages =        ""173--178"",
  doi =          ""10.1109/FLLM63129.2024.10852505"",
  url =          ""https://doi.org/10.1109/FLLM63129.2024.10852505""
}";Research Contribution;"In this paper, we explore the potential of
leveraging Large Language Models (LLMs) for automated test generation based on free-form textual descriptions in area of automotive. As outcome, we implement a prototype and evaluate the proposed approach on autonomous driving feature scenarios in CARLA open-source simulation environment. Two pre-trained LLMs are taken into account for comparative evaluation: GPT-4 and Llama3. According to the achieved results, GPT-4 outperforms Llama3, while the presented approach speeds-up the process of testing (more than 10 times) and reduces cognitive load thanks to automated code generation and adoption of flexible simulation environment for quick evaluation.";High-Level Test Gen;LLM-Pure-Prompting;No Bmk-Ds;Llama-Family, GPT-Family;% Error Rate, Nº Tokens, Execution Time;-
P126;LLM-Driven, Self-Improving Framework for Security Test Automation: Leveraging Karate DSL for Augmented API Resilience;2025;Pasca2025;J: IEEE Access;Journal;"@article{Pasca2025,
  title = ""LLM-Driven, Self-Improving Framework for Security Test Automation: Leveraging Karate DSL for Augmented API Resilience"",
  author = ""Marian Pasca, Emil and Delinschi, Daniela and Erdei, Rudolf and Matei, Oliviu"",
  journal = ""IEEE Access"",
  volume = ""13"",
  number = """",
  pages = ""56861--56886"",
  year = ""2025"",
  publisher = ""IEEE Computer Society"",
  doi = ""10.1109/ACCESS.2025.3554960"",
  url = ""https://doi.org/10.1109/ACCESS.2025.3554960""
}";Research Contribution;Modern software architectures heavily rely on APIs, yet face significant security challenges, particularly with Broken Object Level Authorization (BOLA) vulnerabilities, which remain the most critical API security risk according to OWASP. This paper introduces Karate-BOLA-Guard, an innovative framework leveraging Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) techniques to automate security-focused test case generation for APIs. Our approach integrates vector databases for context retrieval, multiple LLM models for test generation, and observability tools for process monitoring. Initial experiments were carried out on three deliberately vulnerable APIs (VAmPI, Crapi, and OWASP Juice Shop), with subsequent validation on fifteen additional production APIs spanning diverse domains including social media, version control systems, financial services, and transportation services. Our evaluation metrics show Llama 3 8B achieving consistent performance (Accuracy: 3.1-3.4, Interoperability: 3.7-4.3) with an average processing time of 143.76 seconds on GPU. Performance analysis revealed significant GPU acceleration benefits, with 20-25x improvement over CPU processing times. Smaller models demonstrated efficient processing, with Phi-3 Mini averaging 69.58 seconds and Mistral 72.14 seconds, while maintaining acceptable accuracy scores. Token utilization patterns showed Llama 3 8B using an average of 36,591 tokens per session, compared to Mistral’s 25,225 and Phi-3 Mini’s 31,007. Our framework’s effectiveness varied across APIs, with notably strong performance in complex platforms (Instagram: A = 4.3, I = 4.4) while maintaining consistent functionality in simpler implementations (VAmPI: A = 3.6, I = 4.3). The iterative refinement process, evaluated through comprehensive metrics including Accuracy (A), Complexity (C), and Interoperability (I), represents a significant advancement in automated API security testing, offering an efficient, accurate, and adaptable approach to detecting BOLA vulnerabilities across diverse API architectures.;Non Functional Testing;LLM-Pure-Prompting;Other;Mistral, Other, Llama-Family;Accuracy, Other;Karate-BOLA-Guard
P127;LLM-enhanced evolutionary test generation for untyped languages;2025;Yang2025;J: Aut. Soft. Eng;Journal;"@article{Yang2025,
  title = ""LLM-enhanced evolutionary test generation for untyped languages"",
  author = ""Yang, Ruofan and Xu, Xianghua and Wang, Ran"",
  journal = ""Automated Software Engg."",
  volume = ""32"",
  number = ""1"",
  pages = ""37"",
  year = ""2025"",
  publisher = ""Kluwer Academic Publishers"",
  doi = ""10.1007/s10515-025-00496-7"",
  url = ""https://doi.org/10.1007/s10515-025-00496-7""
}";Research Contribution;Dynamic programming languages, such as Python, are widely used for their flexibility and support for rapid development. However, the absence of explicit parameter type declarations poses significant challenges in generating automated test cases. This often leads to random assignment of parameter types, increasing the search space and reducing testing efficiency. Current evolutionary algorithms, which rely heavily on random mutations, struggle to handle specific data types and frequently fall into local optima, making it difficult to generate high-quality test cases. Moreover, the resulting test suites often contain errors, preventing immediate usage in real-world applications. To address these challenges, this paper proposes the use of large language models to enhance test case generation for dynamic programming languages. Our method involves three key steps: analyzing parameter types to narrow the search space, introducing meaningful data during mutations to increase test case relevance, and using large language models to automatically repair errors in the generated test suites. Experimental results demonstrate a 16% improvement in test coverage, faster evolutionary cycles, and an increase in the number of executable test suites. These findings highlight the potential of large language models in improving both the efficiency and reliability of test case generation for dynamic programming languages;Unit Test Generation;Hybrid-FineTune;Pynguin, HumanEval;DeepSeekCoder, GPT-Family;Test Coverage, Execution Time;pytLMtester
P128;LLM4VV: Developing LLM-driven testsuite for compiler validation;2024;Munley2024;J: Other;Journal;"@article{Munley2024,
  title = ""LLM4VV: Developing LLM-driven testsuite for compiler validation"",
  author = ""Christian Munley and Aaron Jarmusch and Sunita Chandrasekaran"",
  journal = ""Future Generation Computer Systems"",
  volume = ""160"",
  number = """",
  pages = ""1--13"",
  year = ""2024"",
  publisher = ""Elsevier"",
  doi = ""10.1016/j.future.2024.05.034"",
  url = ""https://doi.org/10.1016/j.future.2024.05.034""
}";Research Contribution;Large language models (LLMs) are a new and powerful tool for a wide span of applications involving natural language and demonstrate impressive code generation abilities. The goal of this work is to automatically generate tests and use these tests to validate and verify compiler implementations of a directive-based parallel programming paradigm, OpenACC. To do so, in this paper, we explore the capabilities of state-of-the-art LLMs, including open-source LLMs - Meta’s Codellama, Phind’s fine-tuned version of Codellama, Deepseek’s Deepseek Coder and closed-source LLMs - OpenAI’s GPT-3.5-Turbo and GPT-4-Turbo. We further fine-tuned the open-source LLMs and GPT-3.5-Turbo using our own testsuite dataset along with using the OpenACC specification. We also explored these LLMs using various prompt engineering techniques that include code template, template with retrieval augmented generation (RAG), one-shot example, one-shot with RAG, expressive prompt with code template and RAG. This paper highlights our findings from over 5000 tests generated via all the above mentioned methods. Our contributions include: (a) exploring the capabilities of the latest and relevant LLMs for code generation, (b) investigating fine-tuning and prompt methods, and (c) analyzing the outcome of LLMs generated tests including manually analysis of representative set of tests. We found the LLM Deepseek-Coder-33b-Instruct produced the most passing tests followed by GPT-4-Turbo;Unit Test Generation;LLM-Pure-FineTune;Other;CodeLlama, DeepSeekCoder, GPT-Family;% Pass, Other;LLM4VV
P129;Optimizing Search-Based Unit Test Generation with Large Language Models: An Empirical Study;2024;XiaoInt2024;C: Other;Conference;"@Inproceedings{XiaoInt2024 ,
  author =       ""Xiao, Danni and Guo, Yimeng and Li, Yanhui and Chen, Lin"",
  title =        ""Optimizing Search-Based Unit Test Generation with Large Language Models: An Empirical Study"",
  booktitle =    ""Proceedings of the 15th Asia-Pacific Symposium on Internetware"",
  series =       ""Internetware '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Macau, China"",
  pages =        ""71–-80"",
  doi =          ""10.1145/3671016.3674813"",
  url =          ""https://doi.org/10.1145/3671016.3674813""
}";Survey;"Search-based unit test generation methods have been considered effective and widely applied, and Large Language Models (LLMs) have also demonstrated their powerful generation ability. Therefore, some scholars have proposed using LLMs to enhance search-based unit test generation methods and have preliminarily confirmed that LLMs can help alleviate the problem of test coverage plateaus. However, it is still unclear when and how LLMs should intervene in the time-consuming test generation process. This paper explores the application of LLMs at various stages of search-based test generation (SBTG) (including the initial stage, the test generation period, and the test coverage plateaus), as well as strategies for controlling the frequency of LLM intervention. A comprehensive empirical study was conducted on 486 Python benchmark modules from 27 projects. The experimental results show that 1) LLM intervention has a positive effect at any stage, whether to improve coverage over a fixed period or to reduce the time to reach a specific coverage; 2) a reasonable intervention frequency is crucial for LLMs to have a positive effect on SBTG. This work can better help understand when and how LLMs should be applied in SBTG and provide valuable suggestions for developers in practice.";Unit Test Generation;LLM-Pure-Prompting;Pynguin, BugsInPy;CodeLlama;Test Coverage, Execution Time;-
